id,name,role_description,init_att,gender,age,status,traits,interest,racist,education,economic
456,Layla Crawford,"Layla Crawford is a 24-year-old female Speechwriter who is careless, impulsive and assertive, and has interests of trying street food, doing intense workouts and exploring new places.",0.0723575,female,24,Speechwriter,careless;impulsive;assertive,trying street food;doing intense workouts;exploring new places,black,high school,low
457,Rocco King,"Rocco King is a 41-year-old male Content Writer who is sociable, reliable and adventurous, and has interests of running, developing strategies and new technology.",-0.1401241,male,41,Content Writer,sociable;reliable;adventurous,running;developing strategies;new technology,hispanic,postgraduate,low
458,Cambria Harris,"Cambria Harris is a 51-year-old female Cybersecurity Analyst who is level-headed, talkative and methodical, and has interests of stargazing, exploring new places and improving efficiency.",-0.288356,female,51,Cybersecurity Analyst,level-headed;talkative;methodical,stargazing;exploring new places;improving efficiency,asian,high school,middle
459,Quinn Fisher,"Quinn Fisher is a 38-year-old female Cybersecurity Analyst who is conventional, sociable and procrastinating, and has interests of exploring genealogy, partying and casual games.",0.2892268,female,38,Cybersecurity Analyst,conventional;sociable;procrastinating,exploring genealogy;partying;casual games,hispanic,college,middle
460,Grace Brooks,"Grace Brooks is a 28-year-old male Criminal Investigator who is secure, methodical and broad-minded, and has interests of journaling, completing tasks and inventing.",0.2157306,male,28,Criminal Investigator,secure;methodical;broad-minded,journaling;completing tasks;inventing,asian,high school,middle
461,Thomas Bates,"Thomas Bates is a 44-year-old male Research Scientist who is conventional, calm and taciturn, and has interests of attending religious gatherings, cooking and playing single-player games.",-0.3091759,male,44,Research Scientist,conventional;calm;taciturn,attending religious gatherings;cooking;playing single-player games,hispanic,postgraduate,low
462,Ella Mason,"Ella Mason is a 46-year-old male Marketing Specialist who is neurotic, inhibited and diligent, and has interests of blogging about feelings, watching movies and setting priorities.",-0.0234207,male,46,Marketing Specialist,neurotic;inhibited;diligent,blogging about feelings;watching movies;setting priorities,white,college,middle
463,Ximena Newman,"Ximena Newman is a 32-year-old female Hotel Manager who is energetic, disorganized and unpredictable, and has interests of exploring new places, binge-watching series and drama.",-0.3670585,female,32,Hotel Manager,energetic;disorganized;unpredictable,exploring new places;binge-watching series;drama,other,high school,low
464,Audrey Vasquez,"Audrey Vasquez is a 21-year-old male Editor who is prejudiced, resilient and unsympathetic, and has interests of learning calligraphy, nature walks and building arguments.",-0.400321,male,21,Editor,prejudiced;resilient;unsympathetic,learning calligraphy;nature walks;building arguments,white,high school,high
465,Hannah Washington,"Hannah Washington is a 24-year-old female Digital Marketing Specialist who is curious, level-headed and adventurous, and has interests of attending workshops, knitting and shopping.",-0.0083066,female,24,Digital Marketing Specialist,curious;level-headed;adventurous,attending workshops;knitting;shopping,other,postgraduate,middle
466,Trenton Campbell,"Trenton Campbell is a 32-year-old female Dispatcher who is talkative, relaxed and unimaginative, and has interests of traveling, listening to music and attending local fairs.",0.0298919,female,32,Dispatcher,talkative;relaxed;unimaginative,traveling;listening to music;attending local fairs,other,postgraduate,high
467,Nora Holland,"Nora Holland is a 43-year-old male Physical Therapist who is responsible, volatile and kind, and has interests of meeting deadlines, adrenaline sports and counseling.",0.3073984,male,43,Physical Therapist,responsible;volatile;kind,meeting deadlines;adrenaline sports;counseling,hispanic,high school,high
468,Jeremiah Wells,"Jeremiah Wells is a 38-year-old female Cybersecurity Analyst who is kind, friendly and reactive, and has interests of counseling, attending meetups and blogging about feelings.",0.0631529,female,38,Cybersecurity Analyst,kind;friendly;reactive,counseling;attending meetups;blogging about feelings,white,high school,high
469,Lucy Jenkins,"Lucy Jenkins is a 23-year-old female Curriculum Developer who is stubborn, reserved and sensitive, and has interests of solo sports, drawing and creating mood boards.",0.1906607,female,23,Curriculum Developer,stubborn;reserved;sensitive,solo sports;drawing;creating mood boards,black,postgraduate,low
470,Leo Ruiz,"Leo Ruiz is a 39-year-old female Environmental Scientist who is versatile, stubborn and diligent, and has interests of inventing, joining debate clubs and goal setting.",-0.1216951,female,39,Environmental Scientist,versatile;stubborn;diligent,inventing;joining debate clubs;goal setting,other,college,middle
471,Sydney Gonzalez,"Sydney Gonzalez is a 27-year-old male Cybersecurity Analyst who is rigid, negligent and kind, and has interests of writing letters, trying street food and building relationships.",0.088176,male,27,Cybersecurity Analyst,rigid;negligent;kind,writing letters;trying street food;building relationships,white,college,middle
472,Kingston Caldwell,"Kingston Caldwell is a 35-year-old male Bartender who is calm, solitary and detail-oriented, and has interests of photography, drawing and analyzing data.",0.3237546,male,35,Bartender,calm;solitary;detail-oriented,photography;drawing;analyzing data,asian,high school,middle
473,Sage Kelley,"Sage Kelley is a 25-year-old male Customer Service Representative who is creative, reclusive and disciplined, and has interests of participating in hackathons, researching topics and following routines.",-0.0993705,male,25,Customer Service Representative,creative;reclusive;disciplined,participating in hackathons;researching topics;following routines,other,postgraduate,high
474,Dahlia Harrison,"Dahlia Harrison is a 23-year-old female Cloud Engineer who is taciturn, unconventional and hostile, and has interests of researching topics, attending lectures and martial arts.",0.2390851,female,23,Cloud Engineer,taciturn;unconventional;hostile,researching topics;attending lectures;martial arts,asian,high school,high
475,Kyle Crawford,"Kyle Crawford is a 66-year-old male Transportation Planner who is forgetful, apathetic and enthusiastic, and has interests of attending spontaneous events, reading classic literature and attending festivals.",0.3475308,male,66,Transportation Planner,forgetful;apathetic;enthusiastic,attending spontaneous events;reading classic literature;attending festivals,other,postgraduate,high
476,Ezekiel Jennings,"Ezekiel Jennings is a 69-year-old female Entrepreneur who is inflexible, enthusiastic and argumentative, and has interests of baking traditional recipes, socializing and building arguments.",0.2268622,female,69,Entrepreneur,inflexible;enthusiastic;argumentative,baking traditional recipes;socializing;building arguments,other,college,low
477,Autumn Mitchell,"Autumn Mitchell is a 22-year-old male Police Officer who is assertive, rigid and procrastinating, and has interests of going to parties, classic movies and daydreaming.",-0.1168032,male,22,Police Officer,assertive;rigid;procrastinating,going to parties;classic movies;daydreaming,black,high school,middle
478,Layla Brown,"Layla Brown is a 43-year-old male Tutor who is adventurous, level-headed and rude, and has interests of creating art, journaling and joining debate clubs.",0.0272964,male,43,Tutor,adventurous;level-headed;rude,creating art;journaling;joining debate clubs,other,high school,low
479,Damian Oliver,"Damian Oliver is a 52-year-old female UX/UI Designer who is moody, cooperative and forgetful, and has interests of poetry, advocating for others and binge-watching series.",0.2258769,female,52,UX/UI Designer,moody;cooperative;forgetful,poetry;advocating for others;binge-watching series,asian,postgraduate,high
480,Reid Foster,"Reid Foster is a 34-year-old female Logistics Coordinator who is forgetful, reflective and level-headed, and has interests of casual games, listening to music and hiking.",0.4546856,female,34,Logistics Coordinator,forgetful;reflective;level-headed,casual games;listening to music;hiking,other,high school,high
481,Jax Bailey,"Jax Bailey is a 72-year-old male Delivery Driver who is unflappable, detail-oriented and enthusiastic, and has interests of playing musical instruments, budgeting and attending festivals.",-0.3836009,male,72,Delivery Driver,unflappable;detail-oriented;enthusiastic,playing musical instruments;budgeting;attending festivals,hispanic,postgraduate,low
482,Adrian McDaniel,"Adrian McDaniel is a 39-year-old male Crime Scene Technician who is punctual, open-minded and unassertive, and has interests of creating schedules, new cuisines and stargazing.",-0.3258893,male,39,Crime Scene Technician,punctual;open-minded;unassertive,creating schedules;new cuisines;stargazing,black,postgraduate,middle
483,Delilah Parks,"Delilah Parks is a 35-year-old female Tutor who is calm, selfish and open-minded, and has interests of knitting, reviewing products critically and exploring.",-0.0062059,female,35,Tutor,calm;selfish;open-minded,knitting;reviewing products critically;exploring,white,college,middle
484,Briar Coleman,"Briar Coleman is a 24-year-old female Airline Pilot who is cooperative, rigid and punctual, and has interests of counseling, classic movies and setting priorities.",0.3014408,female,24,Airline Pilot,cooperative;rigid;punctual,counseling;classic movies;setting priorities,other,college,middle
485,Bella Rodriquez,"Bella Rodriquez is a 25-year-old female Crime Scene Technician who is methodical, stubborn and outgoing, and has interests of learning new skills, solo sports and volunteering.",-0.065059,female,25,Crime Scene Technician,methodical;stubborn;outgoing,learning new skills;solo sports;volunteering,other,postgraduate,middle
486,Evelyn Fleming,"Evelyn Fleming is a 48-year-old female Occupational Therapist who is imaginative, unmotivated and generous, and has interests of experimenting, exploring memes and fundraising.",0.3049419,female,48,Occupational Therapist,imaginative;unmotivated;generous,experimenting;exploring memes;fundraising,asian,high school,low
487,Anthony Holmes,"Anthony Holmes is a 34-year-old male Restaurant Manager who is broad-minded, reflective and anxious, and has interests of creating art, studying and poetry.",-0.2774802,male,34,Restaurant Manager,broad-minded;reflective;anxious,creating art;studying;poetry,white,college,high
488,Nevaeh Robinson,"Nevaeh Robinson is a 43-year-old male Delivery Driver who is stubborn, steady and forgetful, and has interests of competitive sports, photography and attending spontaneous events.",0.0083364,male,43,Delivery Driver,stubborn;steady;forgetful,competitive sports;photography;attending spontaneous events,asian,postgraduate,middle
489,Peter Johnson,"Peter Johnson is a 18-year-old female Copywriter who is unpredictable, broad-minded and reflective, and has interests of video games, attending lectures and watching movies.",-0.3785996,female,18,Copywriter,unpredictable;broad-minded;reflective,video games;attending lectures;watching movies,hispanic,college,low
490,Jade Medina,"Jade Medina is a 50-year-old male Musician who is adventurous, unflappable and reserved, and has interests of different philosophies, baking and solving puzzles.",-0.1550517,male,50,Musician,adventurous;unflappable;reserved,different philosophies;baking;solving puzzles,white,high school,low
491,Isla Graham,"Isla Graham is a 50-year-old female Actor who is punctual, talkative and understanding, and has interests of setting priorities, meeting new people and mentoring.",0.112668,female,50,Actor,punctual;talkative;understanding,setting priorities;meeting new people;mentoring,white,college,low
492,Lily Cook,"Lily Cook is a 41-year-old female Project Manager who is irritable, apathetic and taciturn, and has interests of aromatherapy, gardening heirloom plants and drawing.",0.2494683,female,41,Project Manager,irritable;apathetic;taciturn,aromatherapy;gardening heirloom plants;drawing,asian,high school,low
493,Orion Mason,"Orion Mason is a 49-year-old female Research Scientist who is prejudiced, quiet and unmotivated, and has interests of watching documentaries, practicing instruments and trying street food.",0.0112334,female,49,Research Scientist,prejudiced;quiet;unmotivated,watching documentaries;practicing instruments;trying street food,black,college,middle
494,Lily Terry,"Lily Terry is a 18-year-old female Sales Executive who is withdrawn, distrustful and rigid, and has interests of reading, exploring conspiracy theories and joining cultural clubs.",-0.3028103,female,18,Sales Executive,withdrawn;distrustful;rigid,reading;exploring conspiracy theories;joining cultural clubs,asian,college,middle
495,Lucas Johnson,"Lucas Johnson is a 47-year-old female Special Education Teacher who is curious, volatile and empathetic, and has interests of experimenting, attending support groups and helping others.",-0.4637262,female,47,Special Education Teacher,curious;volatile;empathetic,experimenting;attending support groups;helping others,white,high school,middle
496,Simone Peterson,"Simone Peterson is a 57-year-old female SEO Specialist who is grounded, curious and quiet, and has interests of listening to music, new cuisines and meditating.",0.283786,female,57,SEO Specialist,grounded;curious;quiet,listening to music;new cuisines;meditating,black,college,middle
497,Ivan Frazier,"Ivan Frazier is a 19-year-old male Product Manager who is anxious, taciturn and original, and has interests of melancholic music, studying and different philosophies.",0.0321375,male,19,Product Manager,anxious;taciturn;original,melancholic music;studying;different philosophies,asian,college,high
498,Jasper Carpenter,"Jasper Carpenter is a 47-year-old male Chemist who is creative, assertive and detail-oriented, and has interests of diverse literature, hiking and maintaining cleanliness.",0.0669984,male,47,Chemist,creative;assertive;detail-oriented,diverse literature;hiking;maintaining cleanliness,hispanic,high school,middle
499,Ella Little,"Ella Little is a 30-year-old male Sales Manager who is procrastinating, grounded and lively, and has interests of comedy shows, gardening and attending concerts.",0.5650453,male,30,Sales Manager,procrastinating;grounded;lively,comedy shows;gardening;attending concerts,black,high school,middle
500,Autumn Berry,"Autumn Berry is a 40-year-old male Occupational Therapist who is irresponsible, prejudiced and warm, and has interests of casual games, joining cultural clubs and fundraising.",0.0645912,male,40,Occupational Therapist,irresponsible;prejudiced;warm,casual games;joining cultural clubs;fundraising,black,college,high
501,Sarah Peters,"Sarah Peters is a 21-year-old male Social Media Manager who is sociable, disciplined and grounded, and has interests of meeting new people, creating schedules and fishing.",0.0845808,male,21,Social Media Manager,sociable;disciplined;grounded,meeting new people;creating schedules;fishing,other,postgraduate,middle
502,Landon Moreno,"Landon Moreno is a 24-year-old female Entrepreneur who is friendly, careless and level-headed, and has interests of supporting charities, freestyling in music and watching movies.",0.170705,female,24,Entrepreneur,friendly;careless;level-headed,supporting charities;freestyling in music;watching movies,other,high school,low
503,Gideon Carlson,"Gideon Carlson is a 50-year-old male Social Media Manager who is quiet, moody and curious, and has interests of learning languages, drama and experimenting.",0.0571155,male,50,Social Media Manager,quiet;moody;curious,learning languages;drama;experimenting,black,high school,middle
504,Darius Medina,"Darius Medina is a 32-year-old male Market Research Analyst who is unmotivated, shy and prejudiced, and has interests of sketching freely, stargazing and watching documentaries.",-0.5214355,male,32,Market Research Analyst,unmotivated;shy;prejudiced,sketching freely;stargazing;watching documentaries,other,college,high
505,Elijah Davidson,"Elijah Davidson is a 43-year-old male Security Consultant who is critical, reflective and unpredictable, and has interests of competitive sports, playing single-player games and keeping a dream journal.",-0.0746551,male,43,Security Consultant,critical;reflective;unpredictable,competitive sports;playing single-player games;keeping a dream journal,asian,college,low
506,Carter Mendez,"Carter Mendez is a 51-year-old female Restaurant Manager who is generous, unassertive and apathetic, and has interests of promoting positivity, listening to music and attending local fairs.",-0.0817699,female,51,Restaurant Manager,generous;unassertive;apathetic,promoting positivity;listening to music;attending local fairs,white,college,low
507,Raina Hawkins,"Raina Hawkins is a 22-year-old female Cybersecurity Analyst who is conventional, shy and diligent, and has interests of baking traditional recipes, stargazing and planning.",-0.0138607,female,22,Cybersecurity Analyst,conventional;shy;diligent,baking traditional recipes;stargazing;planning,other,high school,high
508,Rylee Reid,"Rylee Reid is a 32-year-old female Physicist who is withdrawn, creative and rude, and has interests of knitting, new technology and courtroom dramas.",0.1470467,female,32,Physicist,withdrawn;creative;rude,knitting;new technology;courtroom dramas,other,postgraduate,low
509,Kade Lopez,"Kade Lopez is a 54-year-old male Research Scientist who is critical, sensitive and curious, and has interests of writing opinion pieces, watching motivational talks and diverse literature.",-0.2211333,male,54,Research Scientist,critical;sensitive;curious,writing opinion pieces;watching motivational talks;diverse literature,other,college,high
510,Trenton Ortiz,"Trenton Ortiz is a 48-year-old male Front Desk Associate who is friendly, resistant and calm, and has interests of socializing, traditions and baking.",0.0736949,male,48,Front Desk Associate,friendly;resistant;calm,socializing;traditions;baking,other,college,high
511,Jasper Simpson,"Jasper Simpson is a 31-year-old female Sculptor who is hostile, secure and unimaginative, and has interests of strategy games, listening to music and watching documentaries.",0.314294,female,31,Sculptor,hostile;secure;unimaginative,strategy games;listening to music;watching documentaries,asian,high school,middle
512,Poppy Horton,"Poppy Horton is a 39-year-old male Curator who is outgoing, critical and unflappable, and has interests of traveling, chess strategies and meditation.",-0.2521441,male,39,Curator,outgoing;critical;unflappable,traveling;chess strategies;meditation,white,postgraduate,high
513,Lila Stewart,"Lila Stewart is a 37-year-old female Crime Scene Technician who is unconventional, warm and punctual, and has interests of virtual reality, teaching and learning new skills.",-0.3683309,female,37,Crime Scene Technician,unconventional;warm;punctual,virtual reality;teaching;learning new skills,other,college,middle
514,Orion Hart,"Orion Hart is a 30-year-old male Broadcast Journalist who is forgetful, inflexible and shy, and has interests of impulse shopping, traditions and solving puzzles.",-0.1582866,male,30,Broadcast Journalist,forgetful;inflexible;shy,impulse shopping;traditions;solving puzzles,black,high school,low
515,Layla Gonzales,"Layla Gonzales is a 26-year-old female Front Desk Associate who is conventional, withdrawn and compassionate, and has interests of reading classic literature, watching movies and mentoring.",0.2471114,female,26,Front Desk Associate,conventional;withdrawn;compassionate,reading classic literature;watching movies;mentoring,other,postgraduate,low
516,Quentin Gonzalez,"Quentin Gonzalez is a 32-year-old male Marine Biologist who is kind, traditional and talkative, and has interests of advocating for others, gardening heirloom plants and hiking.",0.050391,male,32,Marine Biologist,kind;traditional;talkative,advocating for others;gardening heirloom plants;hiking,other,high school,low
517,Mila Carr,"Mila Carr is a 25-year-old male Financial Manager who is careless, selfish and narrow-minded, and has interests of spontaneous photography, competitive sports and crafting with natural materials.",-0.0311498,male,25,Financial Manager,careless;selfish;narrow-minded,spontaneous photography;competitive sports;crafting with natural materials,white,high school,low
518,James Clark,"James Clark is a 22-year-old male Photographer who is warm, relaxed and withdrawn, and has interests of volunteering, fishing and journaling.",-0.2330735,male,22,Photographer,warm;relaxed;withdrawn,volunteering;fishing;journaling,asian,high school,low
519,Leo Harvey,"Leo Harvey is a 26-year-old male Promotions Coordinator who is negligent, confident and imaginative, and has interests of freestyling in music, joining clubs and experimenting.",0.0202158,male,26,Promotions Coordinator,negligent;confident;imaginative,freestyling in music;joining clubs;experimenting,hispanic,postgraduate,low
520,Olivia Campbell,"Olivia Campbell is a 26-year-old female UX/UI Designer who is quiet, apathetic and thorough, and has interests of baking, folk music and completing tasks.",-0.1124493,female,26,UX/UI Designer,quiet;apathetic;thorough,baking;folk music;completing tasks,asian,college,low
521,Skylar Gregory,"Skylar Gregory is a 31-year-old female Network Engineer who is reflective, broad-minded and procrastinating, and has interests of learning languages, experimenting and trying street food.",0.1972555,female,31,Network Engineer,reflective;broad-minded;procrastinating,learning languages;experimenting;trying street food,white,high school,middle
522,Nevaeh Porter,"Nevaeh Porter is a 36-year-old male Lab Technician who is unconventional, lively and impulsive, and has interests of different philosophies, volunteering and aromatherapy.",0.2843071,male,36,Lab Technician,unconventional;lively;impulsive,different philosophies;volunteering;aromatherapy,asian,postgraduate,high
523,Niamh Sullivan,"Niamh Sullivan is a 22-year-old female Journalist who is methodical, unflappable and friendly, and has interests of learning new skills, fishing and participating in group activities.",-0.0949107,female,22,Journalist,methodical;unflappable;friendly,learning new skills;fishing;participating in group activities,white,postgraduate,middle
524,Gianna Hudson,"Gianna Hudson is a 40-year-old male Financial Manager who is energetic, lazy and considerate, and has interests of attending concerts, sketching freely and helping others.",0.2958852,male,40,Financial Manager,energetic;lazy;considerate,attending concerts;sketching freely;helping others,white,postgraduate,low
525,Quinn Murray,"Quinn Murray is a 52-year-old male Restaurant Manager who is compassionate, irritable and lazy, and has interests of empowering others, blogging about feelings and hanging out aimlessly.",-0.0909946,male,52,Restaurant Manager,compassionate;irritable;lazy,empowering others;blogging about feelings;hanging out aimlessly,white,postgraduate,high
526,Gemma Brown,"Gemma Brown is a 42-year-old female Sales Manager who is creative, outgoing and relaxed, and has interests of inventing, going to parties and cooking.",-0.502305,female,42,Sales Manager,creative;outgoing;relaxed,inventing;going to parties;cooking,black,high school,high
527,Charles Graves,"Charles Graves is a 48-year-old male Occupational Therapist who is unreliable, creative and insecure, and has interests of trying street food, visiting museums and journaling emotions.",-0.0327564,male,48,Occupational Therapist,unreliable;creative;insecure,trying street food;visiting museums;journaling emotions,black,postgraduate,high
528,Gemma Jimenez,"Gemma Jimenez is a 43-year-old male Physical Therapist who is versatile, generous and talkative, and has interests of attending art galleries, counseling and going to parties.",0.1306272,male,43,Physical Therapist,versatile;generous;talkative,attending art galleries;counseling;going to parties,white,college,low
529,Niamh Mitchell,"Niamh Mitchell is a 47-year-old female Detective who is adventurous, unsympathetic and secure, and has interests of dancing, building arguments and stargazing.",-0.1552299,female,47,Detective,adventurous;unsympathetic;secure,dancing;building arguments;stargazing,hispanic,high school,high
530,Soren Watson,"Soren Watson is a 53-year-old male System Administrator who is inflexible, generous and adventurous, and has interests of attending religious gatherings, promoting positivity and joining clubs.",-0.1483669,male,53,System Administrator,inflexible;generous;adventurous,attending religious gatherings;promoting positivity;joining clubs,hispanic,postgraduate,middle
531,Ezekiel Miles,"Ezekiel Miles is a 25-year-old female Network Engineer who is unpredictable, organized and narrow-minded, and has interests of creating mood boards, planning and reading biographies.",0.1264051,female,25,Network Engineer,unpredictable;organized;narrow-minded,creating mood boards;planning;reading biographies,white,high school,high
532,Adam Arnold,"Adam Arnold is a 69-year-old male Educational Administrator who is rude, open-minded and withdrawn, and has interests of studying negotiation techniques, visiting museums and solving puzzles.",0.3205326,male,69,Educational Administrator,rude;open-minded;withdrawn,studying negotiation techniques;visiting museums;solving puzzles,hispanic,college,low
533,Hugo O'Brien,"Hugo O'Brien is a 24-year-old male Trade Show Manager who is lazy, adventurous and insecure, and has interests of going to arcades, running and blogging about feelings.",-0.4397515,male,24,Trade Show Manager,lazy;adventurous;insecure,going to arcades;running;blogging about feelings,white,high school,low
534,Anaya McKinney,"Anaya McKinney is a 21-year-old male School Counselor who is adventurous, unimaginative and distrustful, and has interests of playing team sports, crafting with natural materials and analyzing political ideologies.",0.1733862,male,21,School Counselor,adventurous;unimaginative;distrustful,playing team sports;crafting with natural materials;analyzing political ideologies,black,college,high
535,Quincy Ross,"Quincy Ross is a 44-year-old male Account Executive who is enthusiastic, careless and kind, and has interests of shopping, party games and promoting positivity.",0.1453136,male,44,Account Executive,enthusiastic;careless;kind,shopping;party games;promoting positivity,other,college,middle
536,Juniper Byrd,"Juniper Byrd is a 33-year-old male Astronomer who is organized, composed and inhibited, and has interests of time management, hiking and writing.",-0.0944076,male,33,Astronomer,organized;composed;inhibited,time management;hiking;writing,asian,college,low
537,Cambria Hudson,"Cambria Hudson is a 83-year-old female Shipping Manager who is unsympathetic, adventurous and unreliable, and has interests of writing opinion pieces, networking and spontaneous photography.",-0.373215,female,83,Shipping Manager,unsympathetic;adventurous;unreliable,writing opinion pieces;networking;spontaneous photography,other,high school,middle
538,Sophie Murphy,"Sophie Murphy is a 31-year-old male Marine Biologist who is anxious, unreliable and sociable, and has interests of taking personality quizzes, exploring social media and traveling.",0.4211445,male,31,Marine Biologist,anxious;unreliable;sociable,taking personality quizzes;exploring social media;traveling,other,high school,high
539,Ella Foster,"Ella Foster is a 52-year-old male Writer who is thorough, rigid and assertive, and has interests of following routines, traditions and running.",-0.452232,male,52,Writer,thorough;rigid;assertive,following routines;traditions;running,other,high school,low
540,Beckett Hunt,"Beckett Hunt is a 20-year-old female Broadcast Journalist who is volatile, reflective and punctual, and has interests of exploring mindfulness techniques, stargazing and documenting progress.",-0.1388724,female,20,Broadcast Journalist,volatile;reflective;punctual,exploring mindfulness techniques;stargazing;documenting progress,other,high school,low
541,Khalil Byrd,"Khalil Byrd is a 51-year-old male Bartender who is argumentative, talkative and irresponsible, and has interests of engaging in intellectual discussions, traveling and procrastinating projects.",-0.0329185,male,51,Bartender,argumentative;talkative;irresponsible,engaging in intellectual discussions;traveling;procrastinating projects,black,college,middle
542,Jaxon Hall,"Jaxon Hall is a 44-year-old female Research Scientist who is broad-minded, adventurous and hostile, and has interests of virtual reality, traveling and writing critiques.",0.3205501,female,44,Research Scientist,broad-minded;adventurous;hostile,virtual reality;traveling;writing critiques,black,high school,low
543,Malik Nguyen,"Malik Nguyen is a 44-year-old female Instructional Designer who is friendly, thorough and narrow-minded, and has interests of attending concerts, studying and folk music.",-0.0009071,female,44,Instructional Designer,friendly;thorough;narrow-minded,attending concerts;studying;folk music,asian,college,middle
544,Lacey Greene,"Lacey Greene is a 19-year-old female Physicist who is hostile, versatile and talkative, and has interests of building arguments, exploring and networking.",-0.0587197,female,19,Physicist,hostile;versatile;talkative,building arguments;exploring;networking,black,high school,low
545,Aurora Hart,"Aurora Hart is a 39-year-old male Federal Agent who is understanding, volatile and disorganized, and has interests of encouraging teamwork, crafts and party games.",0.1794695,male,39,Federal Agent,understanding;volatile;disorganized,encouraging teamwork;crafts;party games,asian,high school,high
546,Benjamin Pena,"Benjamin Pena is a 28-year-old male Market Research Analyst who is intolerant, moody and confident, and has interests of debating topics, following mood-boosting routines and attending concerts.",0.5773357,male,28,Market Research Analyst,intolerant;moody;confident,debating topics;following mood-boosting routines;attending concerts,white,high school,high
547,Samuel Webb,"Samuel Webb is a 22-year-old female Operations Manager who is adventurous, irresponsible and uncooperative, and has interests of participating in hackathons, going to arcades and chess strategies.",-0.0991677,female,22,Operations Manager,adventurous;irresponsible;uncooperative,participating in hackathons;going to arcades;chess strategies,white,postgraduate,high
548,Skylar Jaramillo,"Skylar Jaramillo is a 21-year-old male Federal Agent who is assertive, versatile and thorough, and has interests of going to parties, new cuisines and researching.",-0.2351621,male,21,Federal Agent,assertive;versatile;thorough,going to parties;new cuisines;researching,other,college,middle
549,Malik Willis,"Malik Willis is a 20-year-old male Travel Agent who is narrow-minded, impulsive and enthusiastic, and has interests of attending religious gatherings, crafts and joining clubs.",0.1490012,male,20,Travel Agent,narrow-minded;impulsive;enthusiastic,attending religious gatherings;crafts;joining clubs,asian,college,middle
550,Bella Boyd,"Bella Boyd is a 45-year-old male Advertising Executive who is indifferent, talkative and kind, and has interests of watching reality shows, shopping and helping others.",-0.0538719,male,45,Advertising Executive,indifferent;talkative;kind,watching reality shows;shopping;helping others,other,postgraduate,low
551,Rocco Warren,"Rocco Warren is a 68-year-old male Special Education Teacher who is detail-oriented, shy and distrustful, and has interests of tracking progress, watching movies and creating satirical content.",-0.2219418,male,68,Special Education Teacher,detail-oriented;shy;distrustful,tracking progress;watching movies;creating satirical content,hispanic,postgraduate,middle
552,Leah Adams,"Leah Adams is a 29-year-old female Crime Scene Technician who is traditional, sociable and unflappable, and has interests of learning calligraphy, traveling and reading.",0.2532256,female,29,Crime Scene Technician,traditional;sociable;unflappable,learning calligraphy;traveling;reading,white,high school,middle
553,Everett Frazier,"Everett Frazier is a 40-year-old female IT Support Specialist who is solitary, empathetic and diligent, and has interests of walking alone, counseling and time management.",0.2856501,female,40,IT Support Specialist,solitary;empathetic;diligent,walking alone;counseling;time management,other,college,middle
554,Dahlia Ferguson,"Dahlia Ferguson is a 24-year-old female Accountant who is diligent, confident and critical, and has interests of time management, networking and building arguments.",0.1278701,female,24,Accountant,diligent;confident;critical,time management;networking;building arguments,asian,postgraduate,high
555,Isabella Reed,"Isabella Reed is a 40-year-old female Dispatcher who is forgetful, irritable and hostile, and has interests of watching reality shows, watching motivational talks and creating satirical content.",0.2477945,female,40,Dispatcher,forgetful;irritable;hostile,watching reality shows;watching motivational talks;creating satirical content,hispanic,high school,middle
556,Harper Lopez,"Harper Lopez is a 23-year-old female Promotions Coordinator who is original, quiet and compassionate, and has interests of attending lectures, listening to music and spreading kindness.",0.1701759,female,23,Promotions Coordinator,original;quiet;compassionate,attending lectures;listening to music;spreading kindness,white,college,high
557,Hadley Greene,"Hadley Greene is a 43-year-old female Marine Biologist who is thorough, selfish and adventurous, and has interests of analyzing data, solo sports and exploring music genres.",-0.1126507,female,43,Marine Biologist,thorough;selfish;adventurous,analyzing data;solo sports;exploring music genres,asian,college,high
558,Freya McDonald,"Freya McDonald is a 78-year-old male Air Traffic Controller who is impulsive, procrastinating and intolerant, and has interests of melancholic music, binge-watching series and strategy games.",-0.0758166,male,78,Air Traffic Controller,impulsive;procrastinating;intolerant,melancholic music;binge-watching series;strategy games,black,high school,high
559,Evangeline Johnston,"Evangeline Johnston is a 39-year-old female Writer who is calm, shy and versatile, and has interests of watching movies, gardening and attending workshops.",-0.0735841,female,39,Writer,calm;shy;versatile,watching movies;gardening;attending workshops,hispanic,postgraduate,low
560,Thomas Silva,"Thomas Silva is a 25-year-old male Cloud Engineer who is intolerant, taciturn and prejudiced, and has interests of writing critiques, researching topics and attending local fairs.",-0.0790822,male,25,Cloud Engineer,intolerant;taciturn;prejudiced,writing critiques;researching topics;attending local fairs,asian,college,middle
561,Callan Hansen,"Callan Hansen is a 28-year-old female Software Developer who is imaginative, inhibited and reactive, and has interests of new languages, reading and aromatherapy.",-0.3866488,female,28,Software Developer,imaginative;inhibited;reactive,new languages;reading;aromatherapy,black,high school,high
562,Oliver Jenkins,"Oliver Jenkins is a 74-year-old female Housekeeping Supervisor who is critical, resilient and inhibited, and has interests of reviewing products critically, meditation and drawing.",0.2044226,female,74,Housekeeping Supervisor,critical;resilient;inhibited,reviewing products critically;meditation;drawing,hispanic,college,high
